event_id,timestamp,source_ip,event_type,username,status,country
1,2024-01-15 02:13:00,192.168.1.105,login_attempt,admin,failed,CN
2,2024-01-15 02:13:05,192.168.1.105,login_attempt,admin,failed,CN
3,2024-01-15 02:13:10,192.168.1.105,login_attempt,root,failed,CN
4,2024-01-15 08:30:00,10.0.0.22,login_attempt,jsmith,success,ES
5,2024-01-15 03:45:00,203.0.113.77,port_scan,unknown,detected,RU
6,2024-01-15 03:45:10,203.0.113.77,port_scan,unknown,detected,RU
7,2024-01-15 14:00:00,10.0.0.45,file_access,mlopez,success,ES
8,2024-01-15 02:14:00,192.168.1.105,login_attempt,admin,failed,CN
9,2024-01-15 05:00:00,198.51.100.9,brute_force,root,failed,KP
10,2024-01-15 05:00:05,198.51.100.9,brute_force,root,failed,KP
11,2024-01-15 05:00:10,198.51.100.9,brute_force,root,failed,KP
12,2024-01-15 09:15:00,10.0.0.33,login_attempt,agarcia,success,ES
13,2024-01-15 02:15:00,192.168.1.105,login_attempt,root,failed,CN
14,2024-01-15 11:30:00,172.16.0.8,file_access,jsmith,success,ES
15,2024-01-15 05:01:00,198.51.100.9,brute_force,admin,failed,KP
